team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
Hawai'i,62,Rainbow Warriors,Hawai'i,HAW,Hawai'i Rainbow Warriors,Hawai'i,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png,-157.85913,21.31026,Big West Conference[j]
Oregon State,204,Beavers,Oregon State,ORST,Oregon State Beavers,Oregon State,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png,-123.27871,44.56311,Pac-12 Conference
Oregon,2483,Ducks,Oregon,ORE,Oregon Ducks,Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png,-123.07046,44.04598,Pac-12 Conference
Portland,2501,Pilots,Portland,PORT,Portland Pilots,Portland,https://a.espncdn.com/i/teamlogos/ncaa/500/2501.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2501.png,-122.67621,45.52345,West Coast Conference
Portland State,2502,Vikings,Portland State,PRST,Portland State Vikings,Portland State,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2502.png,-122.67621,45.52345,Big Sky Conference
San Francisco,2539,Dons,San Francisco,SF,San Francisco Dons,San Francisco,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2539.png,-122.44826,37.78607,West Coast Conference
Seattle,2547,Redhawks,Seattle U,SEA,Seattle U Redhawks,Seattle U,https://a.espncdn.com/i/teamlogos/ncaa/500/2547.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2547.png,-122.31256,47.65655,Western Athletic Conference
Washington,264,Huskies,Washington,WASH,Washington Huskies,Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/264.png,-122.31256,47.65655,Pac-12 Conference
California,25,Golden Bears,California,CAL,California Golden Bears,California,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/25.png,-122.25975,37.87215,Pac-12 Conference
Stanford,24,Cardinal,Stanford,STAN,Stanford Cardinal,Stanford,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png,-122.17024,37.42716,Pac-12 Conference
Saint Mary's,2608,Gaels,Saint Mary's,SMC,Saint Mary's Gaels,Saint Mary's,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2608.png,-122.10922,37.84279,West Coast Conference
Santa Clara,2541,Broncos,Santa Clara,SCU,Santa Clara Broncos,Santa Clara,https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2541.png,-122.04852,37.31698,West Coast Conference
San Jose State,23,Spartans,San José State,SJSU,San José St Spartans,San José State,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/23.png,-121.89496,37.33939,Mountain West Conference
UC Davis,302,Aggies,UC Davis,UCD,UC Davis Aggies,UC Davis,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/302.png,-121.76247,38.54359,Big West Conference[d]
Sacramento State,16,Hornets,Sacramento St,SAC,Sacramento State Hornets,Sacramento St,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/16.png,-121.42299,38.55904,Big Sky Conference
Pacific,279,Tigers,Pacific,PAC,Pacific Tigers,Pacific,https://a.espncdn.com/i/teamlogos/ncaa/500/279.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/279.png,-121.28467,37.96576,West Coast Conference
Cal Poly,13,Mustangs,Cal Poly,CP,Cal Poly Mustangs,Cal Poly,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/13.png,-120.66004,35.30059,Big West Conference[d]
Nevada,2440,Wolf Pack,Nevada,NEV,Nevada Wolf Pack,Nevada,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2440.png,-119.87853,39.67102,Mountain West Conference
UC Santa Barbara,2540,Gauchos,UCSB,UCSB,UC Santa Barbara Gauchos,UCSB,https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2540.png,-119.84714,34.4134,Big West Conference
Fresno State,278,Bulldogs,Fresno State,FRES,Fresno State Bulldogs,Fresno State,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/278.png,-119.77237,36.74773,Mountain West Conference
CSU Bakersfield,2934,Roadrunners,CSU Bakersfield,CSUB,CSU Bakersfield Roadrunners,CSU Bakersfield,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2934.png,-119.10414,35.35024,Big West Conference
CSU Northridge,2463,Matadors,CSU Northridge,CSUN,CSU Northridge Matadors,CSU Northridge,https://a.espncdn.com/i/teamlogos/ncaa/500/2463.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2463.png,-118.52777,34.24229,Big West Conference
Pepperdine,2492,Waves,Pepperdine,PEPP,Pepperdine Waves,Pepperdine,https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2492.png,-118.48843,34.06829,West Coast Conference
Loyola Marymount,2351,Lions,Loyola Marymnt,LMU,Loyola Marymount Lions,Loyola Marymnt,https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2351.png,-118.1686,34.066,West Coast Conference
UCLA,26,Bruins,UCLA,UCLA,UCLA Bruins,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/26.png,-118.1686,34.066,Pac-12 Conference
USC,30,Trojans,USC,USC,USC Trojans,USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png,-118.1686,34.066,Pac-12 Conference
Long Beach State,299,Beach,Long Beach St,LBSU,Long Beach State Beach,Long Beach St,https://a.espncdn.com/i/teamlogos/ncaa/500/299.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/299.png,-118.11446,33.78745,Big West Conference
CSU Fullerton,2239,Titans,CSU Fullerton,CSUF,CSU Fullerton Titans,CSU Fullerton,https://a.espncdn.com/i/teamlogos/ncaa/500/2239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2239.png,-117.8861,33.88301,Big West Conference
UC Irvine,300,Anteaters,UC Irvine,UCI,UC Irvine Anteaters,UC Irvine,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/300.png,-117.84098,33.64842,Big West Conference
Eastern Washington,331,Eagles,E Washington,EWU,Eastern Washington Eagles,E Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/331.png,-117.58298,47.48989,Big Sky Conference
UC Riverside,27,Highlanders,UC Riverside,UCR,UC Riverside Highlanders,UC Riverside,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/27.png,-117.32773,33.97412,Big West Conference
San Diego,301,Toreros,San Diego,USD,San Diego Toreros,San Diego,https://a.espncdn.com/i/teamlogos/ncaa/500/301.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/301.png,-117.2342,32.88477,West Coast Conference[c]
San Diego State,21,Aztecs,San Diego State,SDSU,San Diego State Aztecs,San Diego State,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/21.png,-117.2342,32.88477,Mountain West Conference
Gonzaga,2250,Bulldogs,Gonzaga,GONZ,Gonzaga Bulldogs,Gonzaga,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2250.png,-117.22069,47.62027,West Coast Conference
Idaho,70,Vandals,Idaho,IDHO,Idaho Vandals,Idaho,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/70.png,-117.01264,46.72746,Big Sky Conference
Boise State,68,Broncos,Boise State,BSU,Boise State Broncos,Boise State,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/68.png,-115.93428,43.90573,Mountain West Conference
UNLV,2439,Rebels,UNLV,UNLV,UNLV Rebels,UNLV,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2439.png,-115.14167,36.10775,Mountain West Conference
Montana,149,Grizzlies,Montana,MONT,Montana Grizzlies,Montana,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/149.png,-113.98372,46.8602,Big Sky Conference
Southern Utah,253,Thunderbirds,Southern Utah,SUU,Southern Utah Thunderbirds,Southern Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/253.png,-113.06104,37.70893,Big Sky Conference[u]
Idaho State,304,Bengals,Idaho State,IDST,Idaho State Bengals,Idaho State,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/304.png,-112.43331,42.86686,Big Sky Conference
Grand Canyon,2253,Antelopes,Grand Canyon,GCU,Grand Canyon Antelopes,Grand Canyon,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2253.png,-112.07353,33.45297,Western Athletic Conference
Weber State,2692,Wildcats,Weber State,WEB,Weber State Wildcats,Weber State,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2692.png,-111.99084,41.2461,Big Sky Conference
Arizona State,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona State,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png,-111.9355,33.41728,Pac-12 Conference
Utah State,328,Aggies,Utah State,USU,Utah State Aggies,Utah State,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/328.png,-111.86575,41.73704,Mountain West Conference
Utah,254,Utes,Utah,UTAH,Utah Utes,Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/254.png,-111.84879,40.76495,Pac-12 Conference
Utah Valley,3084,Wolverines,Utah Valley,UVU,Utah Valley Wolverines,Utah Valley,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/3084.png,-111.7295,40.31116,Western Athletic Conference
Northern Arizona,2464,Lumberjacks,N Arizona,NAU,Northern Arizona Lumberjacks,N Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2464.png,-111.66183,35.18251,Big Sky Conference
