team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
Missouri,142,Tigers,Missouri,MIZ,Missouri Tigers,Missouri,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/142.png,-92.32888,38.94526,Southeastern Conference
UL Monroe,2433,Warhawks,UL Monroe,ULM,UL Monroe Warhawks,UL Monroe,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2433.png,-92.1193,32.50931,Sun Belt Conference
Arkansas-Pine Bluff,2029,Golden Lions,Ark-Pine Bluff,UAPB,Arkansas-Pine Bluff Golden Lions,Ark-Pine Bluff,https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png,-92.01958,34.24232,Southwestern Athletic Conference
Louisiana,309,Ragin' Cajuns,Louisiana,ULL,Louisiana Ragin' Cajuns,Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/309.png,-92.01941,30.21528,Sun Belt Conference
Iowa,2294,Hawkeyes,Iowa,IOWA,Iowa Hawkeyes,Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png,-91.53017,41.66113,Big Ten Conference
Missouri State,2623,Bears,Missouri State,MOST,Missouri State Bears,Missouri State,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2623.png,-91.52321,39.79421,Missouri Valley Conference[k]
Alcorn State,2016,Braves,Alcorn State,ALCN,Alcorn State Braves,Alcorn State,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png,-91.13155,31.8669,Southwestern Athletic Conference
LSU,99,Tigers,LSU,LSU,LSU Tigers,LSU,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png,-91.10355,30.38261,Southeastern Conference
Southern,2582,Jaguars,Southern,SOU,Southern Jaguars,Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2582.png,-91.10355,30.38261,Southwestern Athletic Conference
Nicholls,2447,Colonels,Nicholls,NICH,Nicholls Colonels,Nicholls,https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2447.png,-90.84083,29.77417,Southland Conference
