team,Conf,Week,value,team_id,mascot,nickname,abbreviation,display_name,short_name,color,alternate_color,logo,logo_dark
Arkansas,SEC,2,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,7,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,4,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,5,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,6,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,1,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,15,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,16,8,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,17,10,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,9,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,10,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,11,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,8,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,13,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,14,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Arkansas,SEC,12,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
Baylor,Big 12,3,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,8,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,9,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,12,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,13,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,10,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,11,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,1,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,2,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,16,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,4,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,5,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
Baylor,Big 12,6,2,239,Bears,Baylor,BAY,Baylor Bears,Baylor,004834,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png
