team,n_games,avg_expected_mov,avg_actual_mov,avg_perf_v_spread,color,logos,conference
Southern Mississippi,4,-14.88,-22.5,-7.62,#FFAA3C,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,Conference USA
Stanford,5,-4.1,2.2,6.3,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,Pac-12
Syracuse,4,-4.12,2.5,6.62,#F37321,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,ACC
TCU,3,5.67,-3.67,-9.33,#3C377D,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,Big 12
Temple,4,-8.38,-12,-3.62,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,American Athletic
Tennessee,4,3,9.75,6.75,#EE9627,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,SEC
Texas,5,10.7,19.8,9.1,#EE7524,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,Big 12
Texas A&M,5,17.6,10.8,-6.8,#5C0025,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,SEC
Texas State,3,-7.67,-13,-5.33,#4e1719,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,Sun Belt
Texas Tech,4,0.38,4.5,4.12,#C80025,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,Big 12
Toledo,4,7.38,7.25,-0.12,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,Mid-American
Troy,4,6.25,-4.5,-10.75,#AE0210,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,Sun Belt
Tulane,5,-9.2,-18.6,-9.4,#005837,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,American Athletic
Tulsa,4,-4.62,-13.5,-8.88,#004371,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,American Athletic
UAB,4,-2.38,-8,-5.62,#003b28,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,Conference USA
UCF,3,9.5,-2,-11.5,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,American Athletic
UCLA,5,6.7,6.8,0.1,#005C8E,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,Pac-12
UMass,5,-32.3,-32.6,-0.3,#880007,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,FBS Independents
UNLV,4,-29.5,-21.75,7.75,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,Mountain West
USC,5,11.7,9,-2.7,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,Pac-12
UT San Antonio,4,6.38,7.75,1.38,#002A5C,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,Conference USA
Utah,3,10,0,-10,#890012,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Pac-12
Utah State,4,-10.88,-7.75,3.12,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,Mountain West
UTEP,4,-3.12,0,3.12,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,Conference USA
Vanderbilt,4,-10.12,-18.75,-8.62,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,SEC
Virginia,4,0.75,-2.5,-3.25,#f84c1e,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,ACC
Virginia Tech,3,4.17,7.33,3.17,#74232D,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,ACC
Wake Forest,4,10.12,19,8.88,#9E7E38,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,ACC
Washington,4,4,8,4,#2B2F64,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,Pac-12
Washington State,4,-3.12,-7.5,-4.38,#94022a,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,Pac-12
West Virginia,4,-1.38,-1.5,-0.12,#FFC600,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,Big 12
Western Kentucky,3,-8.67,-7.33,1.33,#F32026,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,Conference USA
Western Michigan,4,-5.38,-0.75,4.62,#532e1f,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,Mid-American
Wisconsin,4,10,-7,-17,#A00001,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Big Ten
Wyoming,3,15,14,-1,#533B22,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,Mountain West
